Name,Mar Cap - Crore,Sales Qtr - Crore
Gulf Oil Lubric.,5020.44,355.95
Jagran Prakashan,4995.05,598.07
Elgi Equipment,4954.08,415.42
JK Lakshmi Cem.,4931.55,837.41
Zydus Wellness,4921.45,132.4
Equitas Holdings,4886.09,429.86
India Cements,4885.75,1213.08
Dishman Pharma.,4861.2,534.22
South Ind.Bank,4856.71,1576.96
Polaris Consulta,4830.44,680.07
V I P Inds.,4819.63,337.99
APL Apollo,4775.03,1314.38
Sadbhav Infra.,4735.67,1379.65
Swan Energy,4721.49,1379.65
NIIT Tech.,4658.2,1812.97
Caplin Point Lab,4600.73,1812.97
Indian Energy Ex,4595.7,1812.97
Shoppers St.,4558.06,2041.36
Godfrey Phillips,4512.29,2251.67
Jindal Stain .Hi,4498.09,2438.58
R C F,4493.52,1985.06
Rallis India,4493.2,2251.67
Stand.Chart.PLC,4487.31,2251.67
G M D C,4456.77,2251.67
Manpasand Bever.,4406.8,1925.11
Tata Inv.Corpn.,4401.66,1925.11
Essel Propack,4371.24,1925.11
Allcargo Logist.,4369.69,1479.91
Radico Khaitan,4358.48,1925.11
Cera Sanitary.,4356.9,1925.11
Forbes & Co,4331.82,1925.11
S B T,4328.47,2365.94
KNR Construct.,4325.39,1925.11
PNC Infratech,4307.29,2286.16
Greenply Inds.,4295.02,2349.98
Ujjivan Fin.Ser.,4293.42,2349.98
Monsanto India,4291.43,2349.98
Vinati Organics,4279.07,2349.98
Jindal Saw,4278.31,2349.98
Lux Industries,4269.78,2349.98
Ratnamani Metals,4194.31,2649.42
Cox & Kings,4179.29,1356.07
Omaxe,4168.29,2649.42
Ashoka Buildcon,4166.87,2649.42
Time Technoplast,4156.58,2649.42
Phillips Carbon,4149.67,2649.42
Welspun Corp,4103.05,2304.16
NESCO,4093.02,2434.83
CARE Ratings,4090.69,2434.83
JP Associates,4074.37,1639.57
Zensar Tech.,4066.42,793.76
S H Kelkar & Co.,4057.34,283.12
Mahindra Holiday,4030.35,267.54
Sintex Plastics,4022.02,1332.73
SREI Infra. Fin.,4009.63,1405.19
Techno Elec.,3975.44,275.64
Minda Corp,3974.83,838.77
HMT,3973.5,838.77
KPIT Tech.,3927.26,912.77
Triveni Turbine,3910.17,165.59
Shankara Build.,3901.07,624.62
Multi Comm. Exc.,3847.19,456.81
Brigade Enterpr.,3846.15,423.91
Gayatri Projects,3835.73,708.62
Magma Fincorp,3826.83,580.58
VRL Logistics,3824.69,489.34
ICRA,3809,708.62
Shriram Pistons,3804.58,668.13
IFCI,3789.45,757.7
Suprajit Engg.,3777.26,366.29
J & K Bank,3775.5,1682.97
Navin Fluo.Intl.,3769.26,221.45
Karnataka Bank,3765.74,1332.24
Shilpa Medicare,3764.1,185.53
Kushal,3761.86,578.18
Venky's (India),3760.61,695.85
CCL Products,3748.73,273.99
Excel Crop Care,3734.06,258.65
Trident,3722.6,1137.17
Rane Holdings,3711.8,593.74
Team Lease Serv.,3677.34,918.06
I T D C,3619.04,102.14
JP Power Ven.,3597.6,793.46
S C I,3582,879.56
JK Tyre & Indust,3577.98,2123.24
Deepak Nitrite,3531.9,371.14
Heidelberg Cem.,3531.77,491.23
Amber Enterp.,3529.87,492.25
Sharda Cropchem,3528.07,325.46
Dixon Technolog.,3526.8,677.8
Himatsing. Seide,3511.08,595.61
La Opala RG,3510.93,69.77
H F C L,3482.71,714.42
Reliance Home,3470.6,403
Rupa & Co,3460.91,277.96
Hind.Construct.,3452.57,412.15
Ent.Network,3380.99,148.42
Supreme Petroch.,3377.57,725.02
MAS FINANC SER,3376.2,112.05
Thyrocare Tech.,3374.38,77.84
Prakash Inds.,3336.05,725.97
Repco Home Fin,3331.08,277.48
Sonata Software,3329.58,766.75
Central Dep. Ser,3316.31,47.24
Puravankara,3274.9,440.09
Tejas Networks,3209.89,229.87
ITD Cem,3192.67,472.98
Hathway Cable,3189.1,138.65
Dhanuka Agritech,3188.62,221.51
Mahindra Logis.,3187.51,835.06
Heritage Foods,3185.45,581.74
Mah. Seamless,3164.73,563.66
Navneet Educat.,3148.36,174.41
Firstsour.Solu.,3139.94,887.24
Kaveri Seed Co.,3125.83,70.64
Star Ferro Cem.,3115.98,393.49
Deepak Fert.,3079.06,1644.92
Va Tech Wabag,3041.93,460.89
Prime Focus,3031.5,609.61
Lak. Vilas Bank,3029.57,790.17
NOCIL,3026.26,249.27
Orient Cement,3024.32,511.53
